village,gram_panchayat,tehsil,district,member_list,cfr_boundary_description,cfr_map_attached,khasra_numbers,bordering_villages,frc_formed,gramsabha_meeting_frequency,major_nftps_collected,seasonal_income_forest_percent,forest_condition,fire_incidents_5yrs,water_availability_in_forest,water_supply_coverage,electricity_supply_coverage,road_access_condition
Bhilapur,GP Pati,Bajag,Alirajpur,No,Boundary segment 9500,No,Khasra 132,Korku Pada,Yes,Quarterly,Honey,66.15,Degraded,No,High,Partial,None,Good
Mandla Pur,GP Pushparajgarh,Pali,Jhabua,No,Boundary segment 9501,No,Khasra 11,Dindori Gaon,Yes,Monthly,Honey,17.86,Degraded,Yes,Medium,Partial,None,Good
Mandla Pur,GP Jobat,Pati,Anuppur,No,Boundary segment 9502,Yes,Khasra 281,Barwani Tola,Yes,Quarterly,Lac,23.08,Degraded,No,High,Full,None,Moderate
Bhilapur,GP Niwas,Bajag,Anuppur,No,Boundary segment 9503,No,Khasra 457,Baiga Chak,Yes,Quarterly,Lac,9.47,Degraded,No,Medium,None,Partial,Moderate
Alirajpur Falia,GP Pushparajgarh,Pali,Barwani,Yes,Boundary segment 9504,No,Khasra 498,Mandla Pur,Yes,Monthly,Tendu Leaves,36.56,Degraded,Yes,High,Partial,None,Poor
Korku Pada,GP Ghughri,Pati,Sheopur,Yes,Boundary segment 9505,Yes,Khasra 77,Jhabua Kheda,No,Rare,Multiple,67.74,Good,No,Medium,None,None,Good
Jhabua Kheda,GP Jobat,Niwas,Mandla,Yes,Boundary segment 9506,Yes,Khasra 18,Dindori Gaon,Yes,Quarterly,Mahua,12.45,Moderate,No,Medium,Partial,Full,Good
Alirajpur Falia,GP Bajag,Pali,Dindori,No,Boundary segment 9507,Yes,Khasra 405,Bhilapur,No,Monthly,Honey,73.13,Good,Yes,High,Partial,None,Poor
Jhabua Kheda,GP Pati,Sendhwa,Barwani,Yes,Boundary segment 9508,No,Khasra 422,Alirajpur Falia,No,Quarterly,Bamboo,53.61,Good,No,High,None,None,Moderate
Bhilapur,GP Bajag,Niwas,Sheopur,No,Boundary segment 9509,Yes,Khasra 79,Gondwadi,Yes,Quarterly,Mahua,27.74,Moderate,Yes,Low,Partial,Full,Good
Bhilapur,GP Niwas,Pati,Alirajpur,Yes,Boundary segment 9510,Yes,Khasra 226,Dindori Gaon,No,Monthly,Lac,4.6,Degraded,Yes,High,Full,None,Good
Gondwadi,GP Ghughri,Niwas,Sheopur,No,Boundary segment 9511,Yes,Khasra 349,Dindori Gaon,No,Rare,Lac,24.93,Moderate,No,Medium,Full,Partial,Poor
Jhabua Kheda,GP Niwas,Bajag,Alirajpur,Yes,Boundary segment 9512,No,Khasra 125,Dindori Gaon,Yes,Rare,Lac,8.23,Degraded,No,Low,None,Partial,Poor
Dindori Gaon,GP Jobat,Pati,Barwani,Yes,Boundary segment 9513,No,Khasra 291,Alirajpur Falia,Yes,Quarterly,Lac,45.38,Degraded,Yes,High,None,Full,Good
Alirajpur Falia,GP Ghughri,Ghughri,Jhabua,No,Boundary segment 9514,Yes,Khasra 10,Bhilapur,No,Monthly,Tendu Leaves,52.94,Moderate,No,Low,None,None,Moderate
Baiga Chak,GP Ghughri,Jobat,Barwani,Yes,Boundary segment 9515,No,Khasra 71,Mandla Pur,No,Monthly,Lac,9.4,Degraded,No,Low,Partial,Partial,Moderate
Dindori Gaon,GP Ghughri,Pali,Dindori,No,Boundary segment 9516,Yes,Khasra 420,Dindori Gaon,No,Quarterly,Lac,49.03,Moderate,Yes,Low,Partial,Partial,Good
Korku Pada,GP Ghughri,Ghughri,Jhabua,No,Boundary segment 9517,Yes,Khasra 207,Alirajpur Falia,Yes,Rare,Mahua,25.35,Degraded,No,High,None,Partial,Good
Korku Pada,GP Jobat,Bajag,Alirajpur,No,Boundary segment 9518,Yes,Khasra 436,Dindori Gaon,No,Rare,Lac,70.55,Good,No,Low,None,None,Moderate
Barwani Tola,GP Ghughri,Sendhwa,Dindori,Yes,Boundary segment 9519,Yes,Khasra 169,Barwani Tola,No,Quarterly,Lac,59.95,Good,Yes,Low,Full,None,Moderate
Dindori Gaon,GP Ghughri,Pati,Jhabua,Yes,Boundary segment 9520,Yes,Khasra 411,Korku Pada,No,Rare,Honey,37.21,Good,No,Low,None,Partial,Poor
Dindori Gaon,GP Jobat,Niwas,Barwani,Yes,Boundary segment 9521,No,Khasra 218,Gondwadi,Yes,Rare,Mahua,79.21,Moderate,Yes,Medium,None,Full,Poor
Mandla Pur,GP Pati,Bajag,Anuppur,No,Boundary segment 9522,No,Khasra 57,Gondwadi,Yes,Rare,Honey,2.12,Good,No,Low,Partial,Partial,Moderate
Korku Pada,GP Pati,Niwas,Alirajpur,No,Boundary segment 9523,Yes,Khasra 387,Bhilapur,Yes,Rare,Mahua,17.38,Moderate,No,Medium,Full,Partial,Moderate
Korku Pada,GP Jobat,Niwas,Mandla,Yes,Boundary segment 9524,Yes,Khasra 323,Gondwadi,No,Rare,Lac,38.96,Degraded,No,Low,None,Partial,Poor
Korku Pada,GP Niwas,Pali,Umaria,No,Boundary segment 9525,Yes,Khasra 91,Korku Pada,No,Quarterly,Lac,36.51,Degraded,No,High,Full,None,Good
Gondwadi,GP Pati,Sendhwa,Jhabua,Yes,Boundary segment 9526,No,Khasra 134,Mandla Pur,No,Monthly,Honey,44.63,Good,No,Medium,Partial,None,Moderate
Mandla Pur,GP Niwas,Bajag,Dindori,Yes,Boundary segment 9527,Yes,Khasra 66,Gondwadi,Yes,Quarterly,Mahua,35.71,Degraded,No,Low,Full,Full,Good
Gondwadi,GP Niwas,Bajag,Mandla,Yes,Boundary segment 9528,No,Khasra 234,Korku Pada,Yes,Monthly,Bamboo,37.74,Degraded,No,Medium,None,None,Moderate
Jhabua Kheda,GP Jobat,Jobat,Umaria,Yes,Boundary segment 9529,Yes,Khasra 138,Baiga Chak,No,Monthly,Lac,71.09,Moderate,Yes,Low,Partial,Partial,Moderate
Gondwadi,GP Jobat,Jobat,Jhabua,No,Boundary segment 9530,No,Khasra 219,Korku Pada,No,Monthly,Honey,75.53,Moderate,No,Medium,Partial,None,Poor
Alirajpur Falia,GP Niwas,Pati,Sheopur,No,Boundary segment 9531,Yes,Khasra 176,Gondwadi,No,Monthly,Tendu Leaves,10.12,Good,Yes,Medium,Full,None,Good
Bhilapur,GP Jobat,Pali,Mandla,Yes,Boundary segment 9532,No,Khasra 387,Bhilapur,No,Rare,Bamboo,72.69,Moderate,Yes,Low,Full,None,Poor
Korku Pada,GP Pushparajgarh,Bajag,Jhabua,No,Boundary segment 9533,No,Khasra 330,Sheopur Pada,No,Rare,Bamboo,16.19,Good,No,High,None,Partial,Poor
Mandla Pur,GP Pushparajgarh,Ghughri,Umaria,Yes,Boundary segment 9534,Yes,Khasra 262,Baiga Chak,Yes,Quarterly,Lac,58.68,Moderate,Yes,High,Full,None,Good
Dindori Gaon,GP Ghughri,Niwas,Anuppur,No,Boundary segment 9535,Yes,Khasra 212,Jhabua Kheda,No,Monthly,Lac,72.32,Good,No,High,None,Partial,Poor
Gondwadi,GP Ghughri,Ghughri,Barwani,Yes,Boundary segment 9536,Yes,Khasra 298,Bhilapur,No,Monthly,Lac,78.26,Degraded,Yes,Low,None,Full,Moderate
Mandla Pur,GP Niwas,Jobat,Jhabua,Yes,Boundary segment 9537,Yes,Khasra 200,Baiga Chak,No,Rare,Tendu Leaves,65.69,Good,No,High,Partial,Partial,Poor
Bhilapur,GP Bajag,Bajag,Barwani,Yes,Boundary segment 9538,Yes,Khasra 370,Alirajpur Falia,Yes,Quarterly,Bamboo,11.79,Good,Yes,High,Partial,None,Good
Baiga Chak,GP Pushparajgarh,Pali,Barwani,No,Boundary segment 9539,Yes,Khasra 66,Bhilapur,Yes,Quarterly,Bamboo,12.58,Good,No,High,None,Partial,Poor
Alirajpur Falia,GP Pati,Bajag,Mandla,No,Boundary segment 9540,Yes,Khasra 79,Dindori Gaon,Yes,Quarterly,Multiple,74.98,Degraded,No,Low,Partial,None,Good
Korku Pada,GP Jobat,Pali,Mandla,Yes,Boundary segment 9541,Yes,Khasra 426,Korku Pada,No,Monthly,Lac,72.35,Degraded,No,Medium,Full,None,Poor
Alirajpur Falia,GP Niwas,Niwas,Barwani,No,Boundary segment 9542,Yes,Khasra 422,Sheopur Pada,Yes,Monthly,Multiple,64.45,Good,Yes,Low,None,Partial,Poor
Barwani Tola,GP Bajag,Pali,Barwani,No,Boundary segment 9543,No,Khasra 451,Bhilapur,No,Rare,Bamboo,34.04,Degraded,No,Medium,Full,None,Good
Barwani Tola,GP Ghughri,Pali,Alirajpur,Yes,Boundary segment 9544,Yes,Khasra 132,Mandla Pur,No,Rare,Bamboo,65.19,Degraded,No,Medium,None,None,Moderate
Korku Pada,GP Pushparajgarh,Pati,Alirajpur,Yes,Boundary segment 9545,Yes,Khasra 483,Mandla Pur,Yes,Quarterly,Multiple,15.76,Degraded,No,Low,Full,Full,Moderate
Korku Pada,GP Pati,Niwas,Dindori,Yes,Boundary segment 9546,No,Khasra 103,Bhilapur,No,Rare,Mahua,7.9,Moderate,Yes,High,None,Full,Poor
Baiga Chak,GP Jobat,Sendhwa,Jhabua,Yes,Boundary segment 9547,Yes,Khasra 107,Gondwadi,No,Quarterly,Tendu Leaves,41.23,Good,No,Low,None,None,Good
Barwani Tola,GP Bajag,Jobat,Umaria,No,Boundary segment 9548,No,Khasra 423,Bhilapur,Yes,Monthly,Mahua,59.57,Moderate,Yes,High,Full,None,Poor
Gondwadi,GP Niwas,Pati,Barwani,Yes,Boundary segment 9549,Yes,Khasra 466,Korku Pada,Yes,Rare,Multiple,43.82,Good,Yes,Medium,Full,Full,Moderate
Dindori Gaon,GP Ghughri,Niwas,Anuppur,No,Boundary segment 9550,No,Khasra 120,Baiga Chak,No,Rare,Honey,71.21,Moderate,Yes,Medium,None,Partial,Moderate
Korku Pada,GP Ghughri,Ghughri,Jhabua,No,Boundary segment 9551,Yes,Khasra 488,Bhilapur,Yes,Monthly,Multiple,61.09,Good,Yes,Medium,None,Full,Poor
Gondwadi,GP Bajag,Pati,Jhabua,No,Boundary segment 9552,No,Khasra 37,Gondwadi,Yes,Rare,Lac,8.46,Good,No,Low,None,Partial,Poor
Korku Pada,GP Pati,Pati,Jhabua,Yes,Boundary segment 9553,Yes,Khasra 376,Dindori Gaon,No,Monthly,Mahua,16.19,Degraded,Yes,High,None,None,Good
Mandla Pur,GP Bajag,Pali,Jhabua,No,Boundary segment 9554,No,Khasra 335,Korku Pada,Yes,Quarterly,Honey,12.11,Good,Yes,High,None,Full,Moderate
Barwani Tola,GP Bajag,Pati,Umaria,No,Boundary segment 9555,No,Khasra 158,Jhabua Kheda,Yes,Quarterly,Multiple,78.22,Degraded,Yes,Low,None,Full,Moderate
Bhilapur,GP Niwas,Bajag,Alirajpur,No,Boundary segment 9556,Yes,Khasra 111,Mandla Pur,No,Monthly,Lac,38.27,Good,No,Low,Partial,Partial,Poor
Jhabua Kheda,GP Pati,Ghughri,Dindori,No,Boundary segment 9557,No,Khasra 72,Alirajpur Falia,No,Quarterly,Bamboo,18.07,Good,No,Medium,None,Full,Poor
Barwani Tola,GP Niwas,Pali,Anuppur,No,Boundary segment 9558,No,Khasra 316,Bhilapur,Yes,Quarterly,Tendu Leaves,50.83,Degraded,Yes,Low,Partial,None,Moderate
Bhilapur,GP Jobat,Bajag,Alirajpur,Yes,Boundary segment 9559,Yes,Khasra 378,Jhabua Kheda,No,Monthly,Honey,38.07,Good,No,Low,None,Full,Good
Alirajpur Falia,GP Ghughri,Sendhwa,Jhabua,Yes,Boundary segment 9560,Yes,Khasra 436,Jhabua Kheda,No,Rare,Multiple,3.45,Degraded,Yes,Low,Full,Partial,Good
Bhilapur,GP Niwas,Ghughri,Alirajpur,Yes,Boundary segment 9561,Yes,Khasra 429,Barwani Tola,Yes,Quarterly,Mahua,55,Degraded,No,Medium,None,Partial,Poor
Barwani Tola,GP Pushparajgarh,Bajag,Umaria,No,Boundary segment 9562,No,Khasra 469,Bhilapur,No,Quarterly,Mahua,68.44,Moderate,Yes,Medium,Partial,Partial,Moderate
Bhilapur,GP Niwas,Niwas,Umaria,Yes,Boundary segment 9563,Yes,Khasra 431,Sheopur Pada,No,Monthly,Lac,25.22,Good,No,Medium,Partial,Partial,Good
Mandla Pur,GP Pati,Bajag,Umaria,Yes,Boundary segment 9564,Yes,Khasra 320,Barwani Tola,Yes,Monthly,Bamboo,56.5,Good,No,Medium,Full,Partial,Moderate
Sheopur Pada,GP Niwas,Bajag,Anuppur,Yes,Boundary segment 9565,Yes,Khasra 188,Baiga Chak,Yes,Monthly,Tendu Leaves,51.59,Moderate,No,Low,Partial,Full,Poor
Alirajpur Falia,GP Ghughri,Ghughri,Jhabua,No,Boundary segment 9566,No,Khasra 148,Dindori Gaon,No,Monthly,Multiple,24.14,Good,Yes,Medium,Full,Partial,Poor
Baiga Chak,GP Ghughri,Pali,Sheopur,Yes,Boundary segment 9567,Yes,Khasra 422,Korku Pada,No,Quarterly,Multiple,17.28,Degraded,Yes,Low,Partial,Full,Moderate
Alirajpur Falia,GP Bajag,Jobat,Sheopur,No,Boundary segment 9568,No,Khasra 325,Gondwadi,No,Quarterly,Bamboo,16.21,Degraded,Yes,Low,Full,Partial,Poor
Mandla Pur,GP Bajag,Bajag,Jhabua,Yes,Boundary segment 9569,Yes,Khasra 57,Dindori Gaon,No,Quarterly,Honey,59.3,Good,No,High,Full,Partial,Good
Jhabua Kheda,GP Pushparajgarh,Bajag,Sheopur,No,Boundary segment 9570,No,Khasra 302,Barwani Tola,Yes,Rare,Mahua,64.86,Degraded,No,Low,Partial,None,Good
Mandla Pur,GP Jobat,Pati,Sheopur,Yes,Boundary segment 9571,Yes,Khasra 139,Gondwadi,Yes,Quarterly,Honey,40.4,Degraded,Yes,Low,Full,Full,Good
Gondwadi,GP Pati,Ghughri,Anuppur,No,Boundary segment 9572,No,Khasra 86,Mandla Pur,No,Quarterly,Tendu Leaves,5.86,Good,No,Medium,Full,None,Poor
Alirajpur Falia,GP Niwas,Niwas,Umaria,No,Boundary segment 9573,No,Khasra 91,Bhilapur,No,Rare,Mahua,44.85,Degraded,No,Medium,Partial,None,Poor
Gondwadi,GP Ghughri,Bajag,Mandla,Yes,Boundary segment 9574,No,Khasra 120,Dindori Gaon,Yes,Quarterly,Mahua,46.71,Degraded,No,Medium,None,Full,Good
Barwani Tola,GP Niwas,Bajag,Dindori,Yes,Boundary segment 9575,No,Khasra 108,Mandla Pur,No,Rare,Multiple,49.52,Good,No,Medium,Partial,Full,Good
Gondwadi,GP Jobat,Pati,Barwani,No,Boundary segment 9576,Yes,Khasra 341,Mandla Pur,Yes,Monthly,Bamboo,75.06,Good,Yes,High,Partial,Full,Poor
Baiga Chak,GP Bajag,Bajag,Anuppur,Yes,Boundary segment 9577,Yes,Khasra 277,Alirajpur Falia,Yes,Quarterly,Bamboo,79.71,Degraded,Yes,High,Partial,Partial,Good
Gondwadi,GP Pushparajgarh,Niwas,Anuppur,No,Boundary segment 9578,No,Khasra 282,Jhabua Kheda,Yes,Monthly,Mahua,24.2,Degraded,Yes,Low,Partial,Partial,Poor
Bhilapur,GP Bajag,Bajag,Alirajpur,No,Boundary segment 9579,Yes,Khasra 435,Alirajpur Falia,No,Quarterly,Tendu Leaves,14.58,Degraded,No,Low,None,None,Moderate
Bhilapur,GP Niwas,Bajag,Barwani,No,Boundary segment 9580,Yes,Khasra 324,Mandla Pur,Yes,Monthly,Multiple,21.42,Good,Yes,Low,Partial,Full,Moderate
Bhilapur,GP Jobat,Sendhwa,Dindori,Yes,Boundary segment 9581,No,Khasra 465,Alirajpur Falia,Yes,Monthly,Tendu Leaves,34.93,Degraded,No,High,None,Full,Poor
Sheopur Pada,GP Pati,Sendhwa,Anuppur,No,Boundary segment 9582,Yes,Khasra 220,Mandla Pur,No,Rare,Tendu Leaves,13.09,Degraded,Yes,High,Full,Partial,Moderate
Dindori Gaon,GP Bajag,Jobat,Alirajpur,Yes,Boundary segment 9583,No,Khasra 458,Gondwadi,No,Quarterly,Lac,47.2,Degraded,No,Low,None,Partial,Poor
Baiga Chak,GP Ghughri,Ghughri,Barwani,Yes,Boundary segment 9584,Yes,Khasra 182,Jhabua Kheda,Yes,Rare,Tendu Leaves,53.86,Degraded,Yes,High,Partial,None,Poor
Bhilapur,GP Pushparajgarh,Jobat,Umaria,Yes,Boundary segment 9585,Yes,Khasra 296,Korku Pada,Yes,Rare,Honey,53.62,Moderate,No,High,None,Full,Moderate
Bhilapur,GP Pati,Pati,Umaria,Yes,Boundary segment 9586,No,Khasra 421,Alirajpur Falia,No,Quarterly,Multiple,68.51,Moderate,No,Medium,None,Full,Moderate
Baiga Chak,GP Ghughri,Bajag,Umaria,Yes,Boundary segment 9587,No,Khasra 105,Baiga Chak,Yes,Monthly,Honey,45.24,Degraded,Yes,Low,Full,Full,Good
Alirajpur Falia,GP Niwas,Ghughri,Alirajpur,Yes,Boundary segment 9588,Yes,Khasra 117,Baiga Chak,Yes,Monthly,Honey,71.47,Good,No,Medium,Partial,Full,Poor
Alirajpur Falia,GP Bajag,Pati,Alirajpur,No,Boundary segment 9589,Yes,Khasra 59,Baiga Chak,Yes,Monthly,Tendu Leaves,26.83,Moderate,Yes,Low,Full,None,Poor
Dindori Gaon,GP Ghughri,Bajag,Barwani,Yes,Boundary segment 9590,Yes,Khasra 372,Korku Pada,No,Quarterly,Multiple,66.2,Degraded,No,Low,Full,None,Moderate
Korku Pada,GP Pati,Pati,Umaria,No,Boundary segment 9591,Yes,Khasra 58,Dindori Gaon,Yes,Monthly,Multiple,20.76,Moderate,No,Low,Partial,Partial,Good
Korku Pada,GP Pati,Pali,Alirajpur,Yes,Boundary segment 9592,Yes,Khasra 467,Korku Pada,Yes,Quarterly,Mahua,75.11,Degraded,Yes,Low,None,None,Poor
Gondwadi,GP Pushparajgarh,Pali,Anuppur,Yes,Boundary segment 9593,Yes,Khasra 175,Gondwadi,Yes,Monthly,Mahua,6.69,Good,No,Medium,Partial,None,Moderate
Mandla Pur,GP Ghughri,Niwas,Barwani,No,Boundary segment 9594,No,Khasra 101,Dindori Gaon,No,Rare,Lac,22.96,Good,No,Medium,Partial,Partial,Good
Mandla Pur,GP Jobat,Pati,Dindori,No,Boundary segment 9595,No,Khasra 122,Alirajpur Falia,Yes,Monthly,Multiple,75.99,Degraded,Yes,High,Partial,None,Moderate
Alirajpur Falia,GP Niwas,Pati,Dindori,Yes,Boundary segment 9596,No,Khasra 263,Dindori Gaon,Yes,Quarterly,Mahua,68.26,Degraded,No,High,Full,Partial,Poor
Alirajpur Falia,GP Niwas,Bajag,Anuppur,Yes,Boundary segment 9597,No,Khasra 408,Mandla Pur,Yes,Monthly,Lac,55.88,Good,Yes,Medium,Partial,Partial,Poor
Sheopur Pada,GP Bajag,Ghughri,Barwani,No,Boundary segment 9598,No,Khasra 299,Jhabua Kheda,No,Monthly,Mahua,71.55,Degraded,Yes,High,None,None,Moderate
Jhabua Kheda,GP Pushparajgarh,Sendhwa,Dindori,Yes,Boundary segment 9599,Yes,Khasra 126,Korku Pada,Yes,Monthly,Lac,69.31,Degraded,No,Low,None,Full,Poor
Mandla Pur,GP Niwas,Pati,Umaria,Yes,Boundary segment 9600,Yes,Khasra 230,Dindori Gaon,No,Rare,Mahua,37.67,Good,Yes,Low,Full,Full,Poor
Bhilapur,GP Ghughri,Pali,Mandla,Yes,Boundary segment 9601,No,Khasra 369,Mandla Pur,Yes,Quarterly,Mahua,21.16,Moderate,Yes,Low,Full,Full,Good
Barwani Tola,GP Niwas,Jobat,Barwani,No,Boundary segment 9602,Yes,Khasra 340,Mandla Pur,Yes,Rare,Lac,13.32,Moderate,Yes,Low,Full,None,Poor
Jhabua Kheda,GP Niwas,Sendhwa,Anuppur,No,Boundary segment 9603,Yes,Khasra 458,Gondwadi,No,Rare,Multiple,70,Good,Yes,Medium,Partial,Partial,Poor
Gondwadi,GP Jobat,Jobat,Umaria,No,Boundary segment 9604,No,Khasra 357,Bhilapur,Yes,Monthly,Honey,70.73,Moderate,No,Medium,Partial,Partial,Good
Sheopur Pada,GP Pushparajgarh,Sendhwa,Umaria,No,Boundary segment 9605,Yes,Khasra 315,Korku Pada,No,Rare,Tendu Leaves,9.41,Degraded,Yes,High,Full,Partial,Moderate
Jhabua Kheda,GP Ghughri,Pali,Jhabua,No,Boundary segment 9606,Yes,Khasra 126,Jhabua Kheda,No,Monthly,Bamboo,48.26,Moderate,No,High,Partial,Partial,Moderate
Alirajpur Falia,GP Niwas,Sendhwa,Dindori,No,Boundary segment 9607,No,Khasra 174,Mandla Pur,Yes,Rare,Honey,33.49,Degraded,No,High,None,Full,Poor
Barwani Tola,GP Niwas,Pati,Mandla,No,Boundary segment 9608,Yes,Khasra 238,Korku Pada,Yes,Monthly,Bamboo,18.33,Moderate,Yes,Medium,Partial,Partial,Good
Sheopur Pada,GP Bajag,Niwas,Mandla,No,Boundary segment 9609,Yes,Khasra 441,Jhabua Kheda,No,Rare,Honey,30.89,Degraded,No,Low,Full,Partial,Poor
Alirajpur Falia,GP Niwas,Bajag,Alirajpur,No,Boundary segment 9610,No,Khasra 51,Mandla Pur,Yes,Rare,Multiple,57.28,Good,No,Low,Full,Partial,Poor
Jhabua Kheda,GP Ghughri,Pali,Alirajpur,No,Boundary segment 9611,Yes,Khasra 457,Mandla Pur,No,Quarterly,Tendu Leaves,38.38,Moderate,Yes,High,None,Full,Good
Sheopur Pada,GP Pushparajgarh,Bajag,Barwani,Yes,Boundary segment 9612,Yes,Khasra 185,Gondwadi,No,Rare,Honey,23.86,Moderate,No,Low,Full,Partial,Moderate
Korku Pada,GP Bajag,Sendhwa,Umaria,Yes,Boundary segment 9613,Yes,Khasra 267,Korku Pada,No,Rare,Mahua,73.39,Moderate,No,High,None,Full,Poor
Barwani Tola,GP Niwas,Bajag,Sheopur,Yes,Boundary segment 9614,Yes,Khasra 3,Barwani Tola,Yes,Monthly,Tendu Leaves,0.38,Degraded,No,Low,Partial,Partial,Good
Baiga Chak,GP Ghughri,Sendhwa,Alirajpur,No,Boundary segment 9615,No,Khasra 124,Sheopur Pada,No,Rare,Bamboo,62,Moderate,No,Medium,Full,None,Poor
Mandla Pur,GP Niwas,Jobat,Mandla,No,Boundary segment 9616,No,Khasra 384,Bhilapur,No,Monthly,Multiple,55.74,Moderate,No,Medium,Partial,Full,Moderate
Alirajpur Falia,GP Jobat,Niwas,Anuppur,Yes,Boundary segment 9617,Yes,Khasra 116,Korku Pada,No,Rare,Multiple,0.14,Degraded,Yes,Low,Partial,None,Poor
Bhilapur,GP Bajag,Sendhwa,Dindori,Yes,Boundary segment 9618,Yes,Khasra 164,Dindori Gaon,Yes,Rare,Tendu Leaves,12.29,Moderate,Yes,Low,Partial,Full,Moderate
Baiga Chak,GP Pushparajgarh,Bajag,Dindori,No,Boundary segment 9619,No,Khasra 223,Alirajpur Falia,No,Monthly,Bamboo,31,Degraded,Yes,High,Full,Full,Poor
Korku Pada,GP Ghughri,Pati,Mandla,No,Boundary segment 9620,No,Khasra 176,Dindori Gaon,No,Rare,Honey,0.63,Good,No,High,Full,Full,Poor
Barwani Tola,GP Jobat,Pati,Sheopur,Yes,Boundary segment 9621,No,Khasra 219,Barwani Tola,Yes,Rare,Bamboo,17.36,Good,No,High,Partial,None,Moderate
Barwani Tola,GP Jobat,Bajag,Anuppur,No,Boundary segment 9622,Yes,Khasra 458,Korku Pada,No,Rare,Mahua,57.64,Moderate,Yes,Low,None,Partial,Poor
Barwani Tola,GP Ghughri,Pati,Alirajpur,Yes,Boundary segment 9623,No,Khasra 284,Korku Pada,No,Rare,Multiple,21.5,Good,Yes,High,Partial,Partial,Good
Jhabua Kheda,GP Pushparajgarh,Jobat,Sheopur,No,Boundary segment 9624,Yes,Khasra 72,Alirajpur Falia,Yes,Monthly,Mahua,49.29,Degraded,No,Low,Full,Partial,Poor
Barwani Tola,GP Niwas,Bajag,Sheopur,Yes,Boundary segment 9625,No,Khasra 174,Gondwadi,Yes,Quarterly,Bamboo,23.5,Moderate,No,High,None,Full,Good
Gondwadi,GP Pushparajgarh,Ghughri,Anuppur,Yes,Boundary segment 9626,Yes,Khasra 245,Dindori Gaon,Yes,Rare,Tendu Leaves,36.02,Good,Yes,Low,Full,None,Poor
Baiga Chak,GP Pushparajgarh,Jobat,Anuppur,Yes,Boundary segment 9627,No,Khasra 172,Bhilapur,Yes,Rare,Lac,9.29,Moderate,Yes,Medium,Full,Partial,Good
Mandla Pur,GP Pushparajgarh,Niwas,Alirajpur,No,Boundary segment 9628,No,Khasra 169,Korku Pada,No,Quarterly,Tendu Leaves,11.22,Good,No,Low,Partial,Full,Good
Bhilapur,GP Pati,Pali,Umaria,Yes,Boundary segment 9629,Yes,Khasra 461,Sheopur Pada,Yes,Quarterly,Bamboo,74.15,Moderate,Yes,Medium,None,Partial,Good
Korku Pada,GP Niwas,Pali,Barwani,No,Boundary segment 9630,Yes,Khasra 493,Mandla Pur,Yes,Rare,Bamboo,2.77,Good,Yes,Medium,Partial,Partial,Poor
Bhilapur,GP Bajag,Pali,Jhabua,Yes,Boundary segment 9631,Yes,Khasra 68,Gondwadi,Yes,Quarterly,Mahua,13.86,Good,Yes,High,None,None,Moderate
Dindori Gaon,GP Ghughri,Pati,Anuppur,Yes,Boundary segment 9632,No,Khasra 305,Mandla Pur,Yes,Quarterly,Bamboo,37.43,Degraded,No,High,Partial,Full,Poor
Bhilapur,GP Pushparajgarh,Jobat,Jhabua,No,Boundary segment 9633,No,Khasra 466,Dindori Gaon,No,Quarterly,Lac,13.74,Good,No,High,Partial,Partial,Poor
Mandla Pur,GP Bajag,Bajag,Alirajpur,Yes,Boundary segment 9634,No,Khasra 292,Sheopur Pada,No,Quarterly,Lac,54.65,Moderate,Yes,Low,Full,Full,Moderate
Barwani Tola,GP Pushparajgarh,Pali,Sheopur,Yes,Boundary segment 9635,No,Khasra 437,Gondwadi,Yes,Monthly,Lac,0.82,Moderate,No,Low,Partial,Full,Good
Alirajpur Falia,GP Ghughri,Niwas,Mandla,Yes,Boundary segment 9636,No,Khasra 395,Dindori Gaon,Yes,Quarterly,Bamboo,50.02,Degraded,No,Low,None,Partial,Poor
Korku Pada,GP Niwas,Bajag,Jhabua,No,Boundary segment 9637,No,Khasra 23,Mandla Pur,No,Rare,Honey,23.05,Degraded,Yes,Low,Full,None,Poor
Bhilapur,GP Niwas,Pati,Barwani,No,Boundary segment 9638,No,Khasra 404,Mandla Pur,Yes,Rare,Multiple,76.28,Moderate,Yes,Medium,None,Partial,Good
Alirajpur Falia,GP Ghughri,Sendhwa,Jhabua,Yes,Boundary segment 9639,No,Khasra 141,Jhabua Kheda,No,Monthly,Multiple,30.37,Degraded,Yes,High,None,Full,Good
Gondwadi,GP Ghughri,Bajag,Dindori,No,Boundary segment 9640,No,Khasra 312,Dindori Gaon,Yes,Quarterly,Lac,62.11,Good,Yes,Medium,Full,Full,Good
Sheopur Pada,GP Ghughri,Bajag,Anuppur,Yes,Boundary segment 9641,Yes,Khasra 6,Gondwadi,No,Rare,Multiple,72.92,Degraded,Yes,Low,None,Full,Poor
Jhabua Kheda,GP Jobat,Sendhwa,Jhabua,Yes,Boundary segment 9642,No,Khasra 7,Barwani Tola,Yes,Quarterly,Multiple,24.9,Degraded,Yes,Medium,Partial,Full,Poor
Korku Pada,GP Ghughri,Bajag,Dindori,Yes,Boundary segment 9643,Yes,Khasra 445,Dindori Gaon,Yes,Monthly,Multiple,62.21,Good,Yes,Low,Partial,Partial,Poor
Jhabua Kheda,GP Pati,Sendhwa,Mandla,Yes,Boundary segment 9644,No,Khasra 68,Gondwadi,No,Monthly,Tendu Leaves,19.75,Good,No,Low,Partial,None,Moderate
